Customer_ID,Region,Product_Category,Revenue_in_Million,Profit_Margin,Units_Sold,Customer_Satisfaction,Service_Level_Agreement,Network_Upgrade_Demand,Latency_Issue_Reports,Deployment_Time_in_Days,Maintenance_Cost_in_Million,Renewal_Rate,Technical_Support_Calls,Market_Share
1,Middle East,Broadband,29.69,6.49,3924,6.036826202716571,Premium,54,11,308,3.69,92.85,471,13.55
2,Africa,Enterprise,17.68,33.23,3883,9.276810895885871,Enterprise,67,14,157,2.43,71.41,388,6.17
3,Asia,5G Solutions,10.21,30.36,574,7.284635737924948,Premium,64,46,346,0.38,76.38,334,14.82
4,Africa,Enterprise,34.87,14.87,8697,6.055823322018603,Standard,24,5,195,2.4,83.27,174,4.95
5,Africa,Wireless,13.79,9.14,9002,8.803501605321838,Enterprise,12,39,248,0.31,70.28,437,2.42
6,Europe,Enterprise,45.69,34.83,650,3.975795420266766,Premium,69,1,362,4.74,68.08,483,11.48
7,Asia,Optical Networking,15.25,28.79,172,2.7806027249706284,Standard,86,34,34,1.78,66.84,6,18.51
8,Asia,5G Solutions,27.98,15.18,4356,7.724525473492478,Premium,84,30,353,0.85,88.54,391,6.55
9,Asia,5G Solutions,41.47,5.59,7714,1.5291447418069635,Enterprise,97,44,167,1.21,99.34,405,6.89
10,Africa,Optical Networking,20.4,37.85,8845,4.817641641041828,Enterprise,68,5,82,4.57,66.28,273,11.76
11,Middle East,Enterprise,41.52,19.15,4434,3.583688491651453,Standard,26,5,362,1.12,83.7,135,3.96
12,Asia,Optical Networking,36.32,11.17,4474,9.741925023545685,Standard,16,49,220,0.75,93.9,269,13.89
13,Africa,Broadband,46.08,36.91,9340,4.393860674971697,Enterprise,84,1,177,3.12,99.19,67,10.06
14,Europe,Optical Networking,16.63,17.57,3718,6.9708621448342605,Premium,19,9,247,0.56,78.92,400,4.26
15,Middle East,Enterprise,5.7,21.21,6759,3.4163613771892383,Enterprise,31,25,132,2.41,59.15,379,9.9
16,Europe,Optical Networking,21.8,29.45,147,9.848553047313729,Premium,3,36,153,3.42,77.19,331,3.11
17,Middle East,Wireless,39.4,33.68,9885,2.6235253304393824,Standard,79,38,41,0.79,82.76,83,12.89
18,Africa,Optical Networking,22.8,8.51,7116,9.16032507044119,Enterprise,55,43,239,3.92,73.96,93,2.94
19,North America,Optical Networking,13.47,36.45,7252,5.008344593558112,Premium,11,5,342,2.2,65.39,173,15.36
20,Middle East,Enterprise,1.87,37.64,4261,4.845479898145175,Premium,16,19,82,3.59,65.64,296,13.99
21,Europe,Broadband,15.99,14.07,1068,7.31167508173567,Enterprise,47,20,185,1.34,90.04,390,2.21
22,Africa,Broadband,35.81,22.41,4624,1.8398575730049396,Enterprise,39,9,192,2.24,98.29,322,2.49
23,Middle East,Enterprise,7.81,35.03,4287,5.9202304170599485,Premium,52,23,226,2.43,84.42,20,7.07
24,North America,Enterprise,17.37,22.06,8371,2.979735912008011,Premium,1,14,342,1.55,72.76,463,3.45
25,North America,Enterprise,1.5,21.87,5423,2.4140951976551435,Standard,32,43,101,3.98,65.93,97,7.23
26,Asia,Wireless,36.23,26.65,5852,8.89727067160186,Premium,72,33,116,0.97,58.09,355,4.9
27,Asia,5G Solutions,44.09,31.86,3913,9.97558107750063,Enterprise,19,37,152,3.35,64.93,239,13.88
28,Europe,Optical Networking,28.64,28.3,7234,9.740771717797383,Enterprise,59,11,155,4.67,50.88,219,3.42
29,Middle East,Enterprise,1.78,26.93,9589,8.3904518804646,Premium,90,47,340,4.2,66.76,470,1.68
30,Middle East,Enterprise,11.27,18.01,3061,9.27973570792177,Premium,41,29,356,3.84,58.96,413,5.21
31,Asia,Enterprise,22.2,27.05,3676,9.317912884012415,Premium,85,12,116,0.8,51.27,277,8.1
32,Middle East,Broadband,29.59,8.61,2770,2.5872531373539034,Standard,86,27,301,3.82,55.97,18,1.38
33,Middle East,Enterprise,25.07,19.33,3845,1.771286205152268,Enterprise,11,16,128,1.94,95.08,378,15.1
34,North America,Optical Networking,45.84,11.59,1370,2.1410703578966737,Enterprise,71,5,278,0.61,63.63,155,15.15
35,Asia,Enterprise,46.96,23.81,8624,2.4634394683931675,Premium,70,41,184,3.52,76.9,493,10.01
36,Africa,Optical Networking,5.8,14.17,3983,8.402022873009624,Standard,25,1,240,0.42,62.45,2,10.42
37,Asia,Wireless,7.35,22.71,2839,9.471473722191678,Standard,96,13,161,1.97,82.7,235,14.74
38,Africa,5G Solutions,18.22,32.21,155,4.166549323749007,Premium,33,23,199,4.31,58.01,118,15.17
39,North America,Broadband,21.35,20.19,2383,1.3092729430556398,Enterprise,95,0,264,3.46,72.42,183,13.43
40,Europe,Optical Networking,29.51,12.66,239,3.767321774243428,Standard,16,33,55,2.63,61.18,287,2.89
41,Middle East,Wireless,38.77,12.8,5398,7.355246930869654,Premium,36,6,352,4.42,77.23,213,12.18
42,North America,5G Solutions,7.22,36.72,4690,9.486143605414432,Enterprise,17,9,226,3.77,54.95,397,12.15
43,Middle East,5G Solutions,40.23,32.33,8059,5.047245985488118,Enterprise,45,15,364,2.4,79.35,430,8.43
44,Europe,5G Solutions,30.7,6.28,2675,4.0246055257143425,Premium,26,18,340,3.76,86.54,459,4.18
45,Europe,Optical Networking,49.05,38.0,3603,6.879010366497523,Enterprise,23,25,318,4.43,72.44,459,18.75
46,North America,Wireless,32.73,8.94,2839,2.900140561682437,Standard,45,47,291,0.8,97.5,111,15.94
47,Europe,Enterprise,35.95,27.85,3346,7.89232604696013,Enterprise,47,43,363,1.08,60.67,444,9.39
48,Africa,Wireless,10.16,24.3,7826,4.726301289203097,Standard,56,46,87,3.66,54.96,371,6.45
49,Europe,Wireless,38.56,6.63,1251,9.79544255489547,Standard,11,35,271,0.93,54.29,266,8.89
50,Middle East,Wireless,4.42,15.33,5058,9.407069145645254,Premium,30,39,188,0.92,66.66,325,10.11
51,Middle East,Optical Networking,33.0,32.15,3305,6.9883189901868175,Premium,25,41,119,3.32,57.25,181,15.76
52,Middle East,Optical Networking,3.25,15.74,9586,6.831832480168621,Enterprise,98,37,269,2.72,50.46,264,1.88
53,Middle East,Optical Networking,6.2,21.81,3372,2.1083532487363748,Standard,21,33,197,3.81,61.42,55,14.01
54,Africa,Wireless,5.84,29.43,1398,3.528507763257153,Standard,2,27,30,1.66,61.75,382,13.08
55,Asia,Optical Networking,3.1,7.51,8307,8.757364074964066,Standard,67,15,296,3.08,56.31,337,13.64
56,North America,5G Solutions,16.4,34.14,5762,4.266855598736763,Standard,5,43,38,4.49,69.37,81,14.54
57,Middle East,Optical Networking,49.72,6.46,1831,4.8171342550322995,Standard,45,22,165,4.53,97.94,49,19.17
58,Europe,Broadband,17.74,14.18,8486,8.558407638179633,Enterprise,66,22,165,3.3,95.8,225,16.2
59,Middle East,Optical Networking,38.16,31.71,605,4.842332209273884,Standard,95,49,50,0.21,50.95,317,11.89
60,Europe,Optical Networking,7.05,36.92,9264,8.650105025369463,Premium,64,44,34,2.69,90.99,395,9.23
61,Europe,Optical Networking,23.0,31.61,6665,1.624861176434067,Premium,23,7,76,0.43,61.2,344,17.2
62,Middle East,Optical Networking,9.66,12.94,8753,7.2196772957285935,Standard,78,8,83,4.95,76.87,454,19.84
63,Africa,Broadband,10.01,39.5,7887,1.5670837165193054,Enterprise,18,25,79,4.99,73.36,495,19.48
64,Europe,Enterprise,5.43,19.47,5794,8.110112320596674,Premium,75,8,201,0.67,99.17,198,11.46
65,Europe,Optical Networking,21.89,18.18,6894,5.969962236690937,Enterprise,58,8,252,2.34,80.11,107,13.4
66,Middle East,5G Solutions,4.24,35.28,6059,6.002852699644513,Premium,60,38,273,4.32,81.51,224,16.59
