CustomerID,Age,Gender,Region,SubscriptionType,MonthlyCharge,TenureMonths,DataUsageGB,VoiceMinutes,SMSCount,CustomerSatisfaction,SupportTickets,DeviceType,ContractType,PaymentMethod,LastInteraction,Churn,ServiceCalls,PromotionsOpted,Installations,Revenue,Expenses,Profit,MarketShare,EmployeeCount,NewSubscriptions,Cancellations,NetPromoterScore,CustomerLoyaltyIndex,TechnicalIssuesReported,ResolutionTimeDays,DowntimeHours,UptimePercentage,CompetitorOffers,AdCampaigns,SocialMediaMentions,ReferralRate,CustomerLifetimeValue,CustomerAcquisitionCost,R&DSpending
1,62,Female,West,Enterprise,286.95,70,241.33,2945,439,7,0,Laptop,Month-to-Month,Credit Card,2022-10-11 22:09:37.540106944,0,4,2,0,88092.3,8171.43,37953.48,19.64,3084,85,60,-45,33,99,28,37,90.79,4,17,8747,21.57,29904.81,3880.93,572830.94
2,65,Female,North,Enterprise,113.7,87,186.6,7907,620,3,32,Desktop,Bi-Annual,Credit Card,2022-10-11 22:09:37.540106944,0,34,2,3,20857.74,39604.92,24585.44,93.07,1796,172,416,-86,7,79,17,50,98.98,3,14,5979,69.76,38527.93,852.5,774339.82
3,18,Female,West,Enterprise,67.64,63,72.12,92,223,8,33,Laptop,Month-to-Month,Debit Card,2022-10-11 22:09:37.540106944,0,35,1,1,5766.51,47088.32,40378.35,27.86,3734,777,39,-20,41,91,16,48,95.66,8,14,8610,94.68,36337.61,2086.52,60916.8
4,21,Male,East,Enterprise,293.46,13,99.41,6683,856,6,40,Mobile,Bi-Annual,Bank Transfer,2022-10-11 22:09:37.540106944,0,48,2,3,39845.92,34239.58,15161.21,60.6,781,114,382,-28,2,36,16,27,97.39,9,19,1609,72.72,13310.26,1694.69,311981.58
5,21,Female,North,Enterprise,243.08,67,39.62,1277,776,4,1,Mobile,Annual,Bank Transfer,2022-10-11 22:09:37.540106944,1,79,4,2,20769.69,30671.04,27962.37,57.35,7680,96,205,-41,62,13,28,89,98.85,6,3,4926,62.12,12158.43,401.77,844340.5
6,57,Male,West,Enterprise,102.09,60,233.83,7039,976,6,47,Desktop,Annual,Debit Card,2022-10-11 22:09:37.540106944,0,41,9,3,29397.45,44060.33,32016.04,28.4,6451,750,257,-13,42,13,17,67,92.47,8,16,2476,92.83,8789.54,2583.32,405179.32
7,27,Female,East,Premium,21.26,129,422.7,5289,209,3,14,Mobile,Annual,Debit Card,2022-10-11 22:09:37.540106944,0,48,1,3,92652.81,46264.32,1167.34,7.06,4737,985,131,49,28,40,27,47,94.77,5,14,565,21.09,27206.18,2992.09,193426.83
8,37,Male,North,Enterprise,93.98,25,45.28,514,989,5,31,Tablet,Annual,Bank Transfer,2022-10-11 22:09:37.540106944,0,67,2,4,87617.2,14041.81,9371.74,64.6,2155,643,272,61,25,88,19,51,99.48,0,0,7165,30.82,18057.08,2167.92,340878.87
9,39,Female,North,Premium,287.38,107,329.36,5080,221,1,3,Desktop,Annual,Debit Card,2022-10-11 22:09:37.540106944,1,76,5,3,33918.31,41350.79,42014.58,91.43,5064,881,181,-44,56,75,23,24,94.09,3,3,6879,6.14,24008.48,4367.65,183301.95
10,68,Male,South,Enterprise,152.79,222,210.11,9215,271,8,21,Desktop,Bi-Annual,PayPal,2022-10-11 22:09:37.540106944,0,70,5,1,90254.48,11150.86,34851.9,35.66,5973,522,91,-63,25,31,1,16,94.8,7,4,3733,10.26,49880.62,2740.53,975411.53
11,54,Female,East,Premium,102.41,221,435.69,7187,441,1,3,Desktop,Month-to-Month,Debit Card,2022-10-11 22:09:37.540106944,0,83,5,0,84182.63,11659.72,44767.23,57.87,8621,332,430,10,86,24,26,25,94.57,6,9,2754,77.42,44209.74,693.38,776692.36
12,41,Male,North,Basic,115.87,225,181.66,1925,889,4,24,Desktop,Month-to-Month,Debit Card,2022-10-11 22:09:37.540106944,0,66,1,1,98038.48,20016.69,18699.38,22.44,4200,74,3,77,49,22,5,97,95.48,4,15,6809,14.77,6711.56,4012.91,206383.47
13,24,Female,South,Premium,84.18,133,347.22,123,647,6,10,Mobile,Annual,Bank Transfer,2022-10-11 22:09:37.540106944,0,0,3,2,53159.92,12203.81,43122.13,56.52,5330,613,276,5,53,52,21,52,98.48,6,19,5332,80.08,24078.75,3094.62,877807.65
14,42,Male,North,Premium,178.29,201,199.56,1953,24,2,4,Desktop,Annual,PayPal,2022-10-11 22:09:37.540106944,0,73,9,4,52669.02,39563.64,11550.53,26.24,5929,430,472,78,93,53,12,35,94.06,4,14,5867,22.6,22608.31,2369.94,340794.92
15,42,Male,West,Basic,80.81,147,270.97,2266,202,8,7,Mobile,Annual,Bank Transfer,2022-10-11 22:09:37.540106944,0,81,4,4,94482.84,28551.56,27946.1,96.22,9867,300,30,-19,62,34,29,19,93.54,2,5,1862,26.71,27295.42,964.67,815439.4
16,30,Male,South,Enterprise,214.85,46,387.47,9420,309,1,14,Tablet,Month-to-Month,Bank Transfer,2022-10-11 22:09:37.540106944,1,21,8,1,88291.69,48433.08,36957.0,9.52,9585,560,225,-64,90,29,12,2,96.27,2,13,3410,77.93,24549.99,2324.7,616066.17
17,19,Female,North,Enterprise,152.37,221,483.93,3950,178,5,34,Desktop,Annual,Bank Transfer,2022-10-11 22:09:37.540106944,0,71,7,4,95702.05,17891.67,46956.94,34.57,6471,635,111,-44,62,82,11,76,91.07,7,8,6398,13.17,28052.13,385.61,38794.02
18,56,Male,West,Premium,64.52,200,67.44,1448,584,9,43,Tablet,Month-to-Month,Bank Transfer,2022-10-11 22:09:37.540106944,0,49,9,3,35422.89,37810.29,44211.38,25.84,5797,79,177,54,61,79,2,62,99.49,3,7,9487,84.74,8087.78,1125.86,632387.61
19,57,Female,West,Enterprise,296.75,73,264.55,3173,766,4,7,Laptop,Bi-Annual,PayPal,2022-10-11 22:09:37.540106944,0,11,7,1,44503.57,44146.82,49457.99,38.75,7526,150,275,23,61,74,15,33,91.88,6,3,88,25.93,32104.13,3744.16,894433.75
20,41,Female,West,Enterprise,131.36,145,66.13,1039,424,4,46,Laptop,Month-to-Month,Bank Transfer,2022-10-11 22:09:37.540106944,0,84,0,1,79659.72,31556.44,45274.05,52.72,5300,489,237,1,88,38,20,56,93.63,9,16,4729,91.3,28442.03,4300.15,532518.0
21,64,Female,South,Basic,129.04,87,15.25,8021,586,8,40,Desktop,Annual,PayPal,2022-10-11 22:09:37.540106944,1,11,6,1,63122.14,34117.78,30452.21,42.12,6077,136,390,69,19,74,13,12,97.44,9,8,2362,18.95,19507.55,2840.94,555492.1
22,42,Female,West,Enterprise,144.0,107,373.98,3222,679,9,36,Laptop,Bi-Annual,Credit Card,2022-10-11 22:09:37.540106944,1,79,1,2,6221.22,20946.37,21833.24,65.53,3872,996,483,-78,96,78,2,72,95.82,4,1,5300,46.21,24048.38,2931.35,300020.38
23,35,Male,East,Enterprise,80.92,80,491.64,7866,739,6,19,Laptop,Month-to-Month,Bank Transfer,2022-10-11 22:09:37.540106944,1,62,3,1,88774.21,24412.59,2216.31,78.91,1015,56,45,98,41,88,12,59,92.15,6,17,6139,47.54,13093.94,3749.74,835530.36
24,55,Female,North,Premium,289.59,128,297.7,8315,918,5,10,Mobile,Annual,PayPal,2022-10-11 22:09:37.540106944,0,87,0,0,53432.16,29219.28,16670.73,17.62,1584,362,486,48,23,66,22,86,96.91,6,19,478,57.12,25776.68,441.2,561777.53
25,43,Male,East,Enterprise,138.86,21,36.22,742,511,5,25,Mobile,Annual,Credit Card,2022-10-11 22:09:37.540106944,1,63,4,3,40698.52,11176.38,13197.42,1.81,8273,705,66,-42,53,78,18,61,98.72,1,6,9802,63.86,3685.0,693.79,969484.69
26,31,Female,West,Enterprise,184.13,49,30.86,4099,300,6,37,Laptop,Month-to-Month,PayPal,2022-10-11 22:09:37.540106944,0,79,0,3,76040.63,3268.05,19305.58,93.89,4892,485,189,39,12,95,8,73,90.98,2,15,3991,28.75,14952.79,3935.51,394149.26
27,26,Male,West,Premium,114.98,214,157.27,1625,944,5,3,Laptop,Month-to-Month,Bank Transfer,2022-10-11 22:09:37.540106944,0,19,8,0,11151.89,4243.52,16614.73,36.28,4133,178,126,-60,96,90,26,40,95.07,9,1,2164,68.84,48089.56,2413.05,70228.81
28,27,Female,East,Premium,154.56,88,190.44,8409,693,3,23,Mobile,Annual,Debit Card,2022-10-11 22:09:37.540106944,0,19,6,4,48627.75,47195.91,48617.04,59.23,9935,660,126,93,78,28,21,28,92.83,7,13,5829,67.55,11920.1,200.52,478981.88
29,38,Female,South,Premium,273.15,226,1.93,2755,896,4,17,Laptop,Bi-Annual,Bank Transfer,2022-10-11 22:09:37.540106944,0,33,5,2,56987.58,30019.99,6607.41,15.81,7663,24,199,-38,41,30,6,89,91.72,2,5,2626,66.26,9948.56,3795.44,173943.58
30,69,Male,West,Enterprise,66.93,67,421.34,7226,233,8,30,Desktop,Bi-Annual,PayPal,2022-10-11 22:09:37.540106944,0,20,0,1,30015.69,765.48,36158.49,77.12,9516,628,498,-75,49,21,3,30,95.71,8,19,6098,1.33,39707.54,393.13,628375.4
31,34,Female,West,Enterprise,242.15,49,234.29,5012,977,4,22,Mobile,Annual,PayPal,2022-10-11 22:09:37.540106944,0,85,5,2,78532.07,6392.81,21363.18,43.03,1751,985,33,96,28,95,14,38,99.82,6,7,8800,46.32,33684.49,3225.46,230245.93
32,69,Female,East,Enterprise,149.4,219,497.85,5308,456,4,46,Desktop,Bi-Annual,Bank Transfer,2022-10-11 22:09:37.540106944,0,79,9,1,93857.84,39640.79,24316.94,66.95,7481,961,272,23,56,81,22,67,99.31,5,17,4441,35.56,21694.55,4108.49,767300.22
33,23,Female,West,Enterprise,91.94,140,442.07,3820,115,2,3,Desktop,Annual,PayPal,2022-10-11 22:09:37.540106944,1,42,3,1,63477.16,16643.34,5850.64,57.98,5840,71,108,27,39,22,25,74,99.2,2,4,4677,84.96,22909.42,2294.09,432847.4
